politician,date,answer,pct_estimate,lo,hi
Joe Biden,2021-03-10,Disapprove,39.278536,33.962142,44.594931
Joe Biden,2021-03-11,Approve,53.043988,48.216476,57.871499
Joe Biden,2021-03-11,Disapprove,40.254456,35.203093,45.305819
Joe Biden,2021-03-12,Approve,53.154843,48.359253,57.950433
Joe Biden,2021-03-12,Disapprove,40.274014,35.281402,45.266626
Joe Biden,2021-03-13,Approve,53.154843,48.359253,57.950433
Joe Biden,2021-03-13,Disapprove,40.274014,35.281402,45.266626
Joe Biden,2021-03-14,Approve,54.065952,48.989457,59.142448
Joe Biden,2021-03-14,Disapprove,40.104361,35.13077,45.077952
Joe Biden,2021-03-15,Approve,53.846774,48.715572,58.977977
Joe Biden,2021-03-15,Disapprove,40.185976,35.226393,45.145559
Joe Biden,2021-03-16,Approve,53.88628,48.729012,59.043547
Joe Biden,2021-03-16,Disapprove,40.134543,35.125508,45.143578
Joe Biden,2021-03-17,Approve,53.585267,48.512155,58.658379
Joe Biden,2021-03-17,Disapprove,40.321243,35.25655,45.385936
Joe Biden,2021-03-18,Approve,54.036119,48.936115,59.136122
Joe Biden,2021-03-18,Disapprove,39.985409,34.768067,45.20275
Joe Biden,2021-03-19,Approve,54.326912,49.274143,59.37968
Joe Biden,2021-03-19,Disapprove,39.946276,34.780296,45.112256
Joe Biden,2021-03-20,Approve,54.326912,49.274143,59.37968
Joe Biden,2021-03-20,Disapprove,39.946276,34.780296,45.112256
Joe Biden,2021-03-21,Approve,54.326912,49.274143,59.37968
Joe Biden,2021-03-21,Disapprove,39.946276,34.780296,45.112256
Joe Biden,2021-03-22,Approve,55.064562,49.82207,60.307053
Joe Biden,2021-03-22,Disapprove,39.104932,33.698988,44.510876
Joe Biden,2021-03-23,Approve,54.974286,49.652992,60.295579
Joe Biden,2021-03-23,Disapprove,39.208636,33.658918,44.758353
Joe Biden,2021-03-24,Approve,54.380435,49.006848,59.754023
Joe Biden,2021-03-24,Disapprove,39.780839,34.162905,45.398773
Joe Biden,2021-03-25,Approve,53.974147,48.641965,59.306329
Joe Biden,2021-03-25,Disapprove,39.712355,33.945423,45.479287
Joe Biden,2021-03-26,Approve,54.021847,48.705988,59.337705
Joe Biden,2021-03-26,Disapprove,39.66327,33.94152,45.38502
Joe Biden,2021-03-27,Approve,54.021847,48.705988,59.337705
Joe Biden,2021-03-27,Disapprove,39.66327,33.94152,45.38502
Joe Biden,2021-03-28,Approve,54.021847,48.705988,59.337705
Joe Biden,2021-03-28,Disapprove,39.66327,33.94152,45.38502
Joe Biden,2021-03-29,Approve,54.124379,48.751627,59.497132
Joe Biden,2021-03-29,Disapprove,39.430828,33.57657,45.285086
Joe Biden,2021-03-30,Approve,53.904588,48.773341,59.035834
Joe Biden,2021-03-30,Disapprove,39.536628,34.054398,45.018858
Joe Biden,2021-03-31,Approve,54.106209,48.62197,59.590448
Joe Biden,2021-03-31,Disapprove,39.480767,34.159939,44.801595
Joe Biden,2021-04-01,Approve,53.790376,48.24064,59.340111
Joe Biden,2021-04-01,Disapprove,39.429603,33.938467,44.920739
Joe Biden,2021-04-02,Approve,53.864386,48.291396,59.437376
Joe Biden,2021-04-02,Disapprove,39.829318,34.342121,45.316515
Joe Biden,2021-04-03,Approve,53.906377,48.372099,59.440656
Joe Biden,2021-04-03,Disapprove,39.90923,34.463703,45.354757
Joe Biden,2021-04-04,Approve,53.911609,48.375507,59.447712
Joe Biden,2021-04-04,Disapprove,39.903956,34.456231,45.351681
Joe Biden,2021-04-05,Approve,53.678575,48.335586,59.021563
Joe Biden,2021-04-05,Disapprove,39.51854,33.533736,45.503344
Joe Biden,2021-04-06,Approve,53.618386,48.251444,58.985327
Joe Biden,2021-04-06,Disapprove,39.609798,33.55351,45.666085
Joe Biden,2021-04-07,Approve,53.11851,47.818885,58.418135
Joe Biden,2021-04-07,Disapprove,39.950253,33.879454,46.021052
Joe Biden,2021-04-08,Approve,53.348828,48.218013,58.479644
Joe Biden,2021-04-08,Disapprove,39.690286,33.713054,45.667518
Joe Biden,2021-04-09,Approve,53.59475,48.243243,58.946257
Joe Biden,2021-04-09,Disapprove,39.569551,33.719198,45.419905
Joe Biden,2021-04-10,Approve,53.59475,48.243243,58.946257
Joe Biden,2021-04-10,Disapprove,39.569551,33.719198,45.419905
Joe Biden,2021-04-11,Approve,53.59475,48.243243,58.946257
Joe Biden,2021-04-11,Disapprove,39.569551,33.719198,45.419905
Joe Biden,2021-04-12,Approve,53.582872,48.327172,58.838571
Joe Biden,2021-04-12,Disapprove,39.497847,33.655467,45.340227
Joe Biden,2021-04-13,Approve,53.571123,48.28983,58.852415
Joe Biden,2021-04-13,Disapprove,39.525347,33.611406,45.439288
Joe Biden,2021-04-14,Approve,52.479558,47.230288,57.728829
Joe Biden,2021-04-14,Disapprove,40.920696,35.326332,46.51506
Joe Biden,2021-04-15,Approve,52.789209,47.522395,58.056023
Joe Biden,2021-04-15,Disapprove,40.751822,35.502416,46.001228
Joe Biden,2021-04-16,Approve,53.242339,47.847248,58.63743
Joe Biden,2021-04-16,Disapprove,40.60295,35.453924,45.751977
Joe Biden,2021-04-17,Approve,53.242339,47.847248,58.63743
Joe Biden,2021-04-17,Disapprove,40.60295,35.453924,45.751977
Joe Biden,2021-04-18,Approve,53.242339,47.847248,58.63743
Joe Biden,2021-04-18,Disapprove,40.60295,35.453924,45.751977
Joe Biden,2021-04-19,Approve,53.283328,47.891089,58.675568
Joe Biden,2021-04-19,Disapprove,40.57157,35.384407,45.758733
Joe Biden,2021-04-20,Approve,53.455244,48.019379,58.891109
Joe Biden,2021-04-20,Disapprove,40.625908,35.294401,45.957416
Joe Biden,2021-04-21,Approve,53.431994,47.960686,58.903302
Joe Biden,2021-04-21,Disapprove,40.051306,34.666747,45.435864
Joe Biden,2021-04-22,Approve,53.266932,47.905131,58.628734
Joe Biden,2021-04-22,Disapprove,40.234692,34.792459,45.676924
Joe Biden,2021-04-23,Approve,53.751111,48.305121,59.197102
Joe Biden,2021-04-23,Disapprove,39.913626,34.738391,45.088861
Joe Biden,2021-04-24,Approve,53.751111,48.305121,59.197102
Joe Biden,2021-04-24,Disapprove,39.913626,34.738391,45.088861
Joe Biden,2021-04-25,Approve,54.544937,49.482408,59.607466
Joe Biden,2021-04-25,Disapprove,40.643662,35.841299,45.446024
Joe Biden,2021-04-26,Approve,54.455284,49.445923,59.464645
Joe Biden,2021-04-26,Disapprove,40.876175,36.042743,45.709607
Joe Biden,2021-04-27,Approve,54.382766,49.570172,59.195359
Joe Biden,2021-04-27,Disapprove,41.340155,36.602728,46.077582
Joe Biden,2021-04-28,Approve,53.971838,49.271387,58.672289
Joe Biden,2021-04-28,Disapprove,41.695633,36.805758,46.585508
Joe Biden,2021-04-29,Approve,53.761107,49.09138,58.430834
Joe Biden,2021-04-29,Disapprove,41.540675,36.485337,46.596012
Joe Biden,2021-04-30,Approve,53.914535,49.009963,58.819108
Joe Biden,2021-04-30,Disapprove,41.374227,36.266658,46.481796
Joe Biden,2021-05-01,Approve,53.980431,49.130255,58.830606
Joe Biden,2021-05-01,Disapprove,41.137176,36.008222,46.266131
Joe Biden,2021-05-02,Approve,53.980431,49.130255,58.830606
Joe Biden,2021-05-02,Disapprove,41.137176,36.008222,46.266131
Joe Biden,2021-05-03,Approve,53.49088,48.609291,58.372469
Joe Biden,2021-05-03,Disapprove,39.953578,34.215754,45.691402
Joe Biden,2021-05-04,Approve,53.549666,48.697177,58.402156
Joe Biden,2021-05-04,Disapprove,40.012343,34.245591,45.779095
Joe Biden,2021-05-05,Approve,53.27999,48.343625,58.216356
Joe Biden,2021-05-05,Disapprove,40.113415,34.388666,45.838164
Joe Biden,2021-05-06,Approve,53.368107,48.506205,58.230009
Joe Biden,2021-05-06,Disapprove,40.047005,34.324153,45.769857
Joe Biden,2021-05-07,Approve,53.494398,48.564007,58.42479
Joe Biden,2021-05-07,Disapprove,40.105339,34.432864,45.777815
Joe Biden,2021-05-08,Approve,53.494398,48.564007,58.42479
Joe Biden,2021-05-08,Disapprove,40.105339,34.432864,45.777815
Joe Biden,2021-05-09,Approve,53.494398,48.564007,58.42479
Joe Biden,2021-05-09,Disapprove,40.105339,34.432864,45.777815
Joe Biden,2021-05-10,Approve,54.076384,48.586559,59.566208
Joe Biden,2021-05-10,Disapprove,39.70373,33.897574,45.509887
Joe Biden,2021-05-11,Approve,54.020018,48.601125,59.43891
Joe Biden,2021-05-11,Disapprove,39.648582,33.8784,45.418764
Joe Biden,2021-05-12,Approve,52.792521,47.348529,58.236512
Joe Biden,2021-05-12,Disapprove,40.898533,35.038755,46.758311
Joe Biden,2021-05-13,Approve,52.940977,47.638477,58.243476
Joe Biden,2021-05-13,Disapprove,40.783846,34.954744,46.612949
Joe Biden,2021-05-14,Approve,52.794621,47.58243,58.006812
Joe Biden,2021-05-14,Disapprove,40.722719,34.769455,46.675983
Joe Biden,2021-05-15,Approve,52.794621,47.58243,58.006812
Joe Biden,2021-05-15,Disapprove,40.722719,34.769455,46.675983
Joe Biden,2021-05-16,Approve,52.794621,47.58243,58.006812
Joe Biden,2021-05-16,Disapprove,40.722719,34.769455,46.675983
Joe Biden,2021-05-17,Approve,52.766378,47.674723,57.858033
Joe Biden,2021-05-17,Disapprove,40.728347,34.967771,46.488922
Joe Biden,2021-05-18,Approve,52.722626,47.594683,57.850568
Joe Biden,2021-05-18,Disapprove,40.723925,34.899699,46.548151
Joe Biden,2021-05-19,Approve,52.913053,47.924303,57.901803
Joe Biden,2021-05-19,Disapprove,41.056014,35.412377,46.699652
Joe Biden,2021-05-20,Approve,52.932221,48.042051,57.82239
Joe Biden,2021-05-20,Disapprove,40.927904,35.360104,46.495705
Joe Biden,2021-05-21,Approve,54.185913,49.126056,59.245769
Joe Biden,2021-05-21,Disapprove,40.544004,35.543034,45.544973
Joe Biden,2021-05-22,Approve,54.186699,49.127913,59.245485
Joe Biden,2021-05-22,Disapprove,40.545142,35.543792,45.546493
Joe Biden,2021-05-23,Approve,54.186699,49.127913,59.245485
Joe Biden,2021-05-23,Disapprove,40.545142,35.543792,45.546493
Joe Biden,2021-05-24,Approve,54.334964,49.308029,59.361899
Joe Biden,2021-05-24,Disapprove,40.323921,35.402245,45.245597
Joe Biden,2021-05-25,Approve,54.65748,49.42355,59.89142
Joe Biden,2021-05-25,Disapprove,40.22551,35.31464,45.13638
Joe Biden,2021-05-26,Approve,54.320504,49.338358,59.302651
Joe Biden,2021-05-26,Disapprove,40.268356,35.773975,44.762737
Joe Biden,2021-05-27,Approve,53.939184,49.036252,58.842116
Joe Biden,2021-05-27,Disapprove,40.718851,36.170341,45.267361
Joe Biden,2021-05-28,Approve,53.580561,48.726421,58.434701
Joe Biden,2021-05-28,Disapprove,40.832753,36.327169,45.338338
Joe Biden,2021-05-29,Approve,53.580561,48.726421,58.434701
Joe Biden,2021-05-29,Disapprove,40.832753,36.327169,45.338338
Joe Biden,2021-05-30,Approve,53.580561,48.726421,58.434701
Joe Biden,2021-05-30,Disapprove,40.832753,36.327169,45.338338
Joe Biden,2021-05-31,Approve,53.580561,48.726421,58.434701
Joe Biden,2021-05-31,Disapprove,40.832753,36.327169,45.338338
Joe Biden,2021-06-01,Approve,53.67661,49.0524,58.30082
Joe Biden,2021-06-01,Disapprove,39.797097,34.465092,45.129102
Joe Biden,2021-06-02,Approve,53.362852,48.767702,57.958002
Joe Biden,2021-06-02,Disapprove,40.100893,34.653364,45.548423
Joe Biden,2021-06-03,Approve,53.191199,48.670131,57.712267
Joe Biden,2021-06-03,Disapprove,40.474662,34.906229,46.043095
Joe Biden,2021-06-04,Approve,53.408043,48.368123,58.447964
Joe Biden,2021-06-04,Disapprove,40.383448,34.893071,45.873825
Joe Biden,2021-06-05,Approve,53.408043,48.368123,58.447964
Joe Biden,2021-06-05,Disapprove,40.383448,34.893071,45.873825
Joe Biden,2021-06-06,Approve,53.408043,48.368123,58.447964
Joe Biden,2021-06-06,Disapprove,40.383448,34.893071,45.873825
Joe Biden,2021-06-07,Approve,53.277751,48.11753,58.437972
Joe Biden,2021-06-07,Disapprove,40.429315,34.787279,46.071352
Joe Biden,2021-06-08,Approve,53.144832,48.169679,58.119985
Joe Biden,2021-06-08,Disapprove,40.531937,35.014321,46.049552
Joe Biden,2021-06-09,Approve,53.06611,48.207898,57.924322
Joe Biden,2021-06-09,Disapprove,40.573357,35.179243,45.967471
Joe Biden,2021-06-10,Approve,52.991645,48.242714,57.740575
Joe Biden,2021-06-10,Disapprove,40.64205,35.317376,45.966725
Joe Biden,2021-06-11,Approve,53.186096,47.969169,58.403023
Joe Biden,2021-06-11,Disapprove,40.655173,35.304029,46.006318
Joe Biden,2021-06-12,Approve,53.186096,47.969169,58.403023
Joe Biden,2021-06-12,Disapprove,40.655173,35.304029,46.006318
Joe Biden,2021-06-13,Approve,53.186096,47.969169,58.403023
Joe Biden,2021-06-13,Disapprove,40.655173,35.304029,46.006318
Joe Biden,2021-06-14,Approve,53.112947,47.850854,58.37504
Joe Biden,2021-06-14,Disapprove,40.803505,35.194124,46.412885
Joe Biden,2021-06-15,Approve,52.95932,47.788421,58.13022
Joe Biden,2021-06-15,Disapprove,41.179657,35.618343,46.740971
Joe Biden,2021-06-16,Approve,51.939883,46.783073,57.096692
Joe Biden,2021-06-16,Disapprove,41.985094,36.817213,47.152975
Joe Biden,2021-06-17,Approve,51.680343,46.736146,56.62454
Joe Biden,2021-06-17,Disapprove,42.453913,37.480766,47.427061
Joe Biden,2021-06-18,Approve,51.760901,46.855602,56.6662
Joe Biden,2021-06-18,Disapprove,42.439348,37.442119,47.436578
Joe Biden,2021-06-19,Approve,51.760901,46.855602,56.6662
Joe Biden,2021-06-19,Disapprove,42.439348,37.442119,47.436578
Joe Biden,2021-06-20,Approve,51.760901,46.855602,56.6662
Joe Biden,2021-06-20,Disapprove,42.439348,37.442119,47.436578
Joe Biden,2021-06-21,Approve,51.666885,46.942684,56.391086
Joe Biden,2021-06-21,Disapprove,42.609325,37.785825,47.432824
Joe Biden,2021-06-22,Approve,51.763069,47.043351,56.482787
Joe Biden,2021-06-22,Disapprove,42.558624,37.792589,47.32466
Joe Biden,2021-06-23,Approve,52.301904,47.680666,56.923142
Joe Biden,2021-06-23,Disapprove,42.363,37.847827,46.878174
Joe Biden,2021-06-24,Approve,52.633511,48.162855,57.104168
Joe Biden,2021-06-24,Disapprove,42.132695,37.672931,46.592459
Joe Biden,2021-06-25,Approve,52.652664,48.218283,57.087044
Joe Biden,2021-06-25,Disapprove,42.12299,37.697808,46.548173
Joe Biden,2021-06-26,Approve,52.700349,48.159711,57.240987
Joe Biden,2021-06-26,Disapprove,41.799124,37.123595,46.474652
Joe Biden,2021-06-27,Approve,52.700349,48.159711,57.240987
Joe Biden,2021-06-27,Disapprove,41.799124,37.123595,46.474652
Joe Biden,2021-06-28,Approve,52.678675,48.049683,57.307666
Joe Biden,2021-06-28,Disapprove,41.886426,37.033362,46.739491
Joe Biden,2021-06-29,Approve,52.711431,48.038149,57.384713
Joe Biden,2021-06-29,Disapprove,41.905134,37.001951,46.808317
Joe Biden,2021-06-30,Approve,52.124295,47.259059,56.989531
Joe Biden,2021-06-30,Disapprove,42.24044,37.293695,47.187186
Joe Biden,2021-07-01,Approve,52.014152,47.304014,56.72429
Joe Biden,2021-07-01,Disapprove,42.289261,37.401482,47.177039
Joe Biden,2021-07-02,Approve,52.105449,47.109663,57.101234
Joe Biden,2021-07-02,Disapprove,42.343048,37.544303,47.141793
Joe Biden,2021-07-03,Approve,52.105449,47.109663,57.101234
Joe Biden,2021-07-03,Disapprove,42.343048,37.544303,47.141793
Joe Biden,2021-07-04,Approve,51.875099,46.986939,56.763258
Joe Biden,2021-07-04,Disapprove,42.330217,37.674444,46.985991
