politician,date,answer,pct_estimate,lo,hi
Kamala Harris,2023-06-21,Approve,40.72302077732446,,
Kamala Harris,2023-06-21,Disapprove,51.64023956633357,,
Kamala Harris,2023-06-20,Approve,40.72302077732446,,
Kamala Harris,2023-06-20,Disapprove,51.64023956633357,,
Kamala Harris,2023-06-19,Approve,40.72302077732446,,
Kamala Harris,2023-06-19,Disapprove,51.64023956633357,,
Kamala Harris,2023-06-18,Approve,38.73151014067638,,
Kamala Harris,2023-06-18,Disapprove,52.13839717795393,,
Kamala Harris,2023-06-17,Approve,38.73151014067638,,
Kamala Harris,2023-06-17,Disapprove,52.13839717795393,,
Kamala Harris,2023-06-16,Approve,38.73151014067638,,
Kamala Harris,2023-06-16,Disapprove,52.13839717795393,,
Kamala Harris,2023-06-15,Approve,38.24048026908141,,
Kamala Harris,2023-06-15,Disapprove,53.91897789742584,,
Kamala Harris,2023-06-14,Approve,38.2404802690814,,
Kamala Harris,2023-06-14,Disapprove,53.91897789742585,,
Kamala Harris,2023-06-13,Approve,38.2404802690814,,
Kamala Harris,2023-06-13,Disapprove,53.91897789742584,,
Kamala Harris,2023-06-12,Approve,38.2404802690814,,
Kamala Harris,2023-06-12,Disapprove,53.91897789742584,,
Kamala Harris,2023-06-11,Approve,38.24048026908141,,
Kamala Harris,2023-06-11,Disapprove,53.91897789742584,,
Kamala Harris,2023-06-10,Approve,38.2404802690814,,
Kamala Harris,2023-06-10,Disapprove,53.91897789742585,,
Kamala Harris,2023-06-09,Approve,38.2404802690814,,
Kamala Harris,2023-06-09,Disapprove,53.91897789742584,,
Kamala Harris,2023-06-08,Approve,36.67157938667801,,
Kamala Harris,2023-06-08,Disapprove,55.99491392005172,,
Kamala Harris,2023-06-07,Approve,36.67157938667801,,
Kamala Harris,2023-06-07,Disapprove,55.99491392005172,,
Kamala Harris,2023-06-06,Approve,36.16439003870108,,
Kamala Harris,2023-06-06,Disapprove,52.75911294902747,,
Kamala Harris,2023-06-05,Approve,36.16439003870108,,
Kamala Harris,2023-06-05,Disapprove,52.75911294902747,,
Kamala Harris,2023-06-04,Approve,36.16439003870108,,
Kamala Harris,2023-06-04,Disapprove,52.75911294902746,,
Kamala Harris,2023-06-03,Approve,36.16439003870108,,
Kamala Harris,2023-06-03,Disapprove,52.75911294902747,,
Kamala Harris,2023-06-02,Approve,36.16439003870108,,
Kamala Harris,2023-06-02,Disapprove,52.75911294902747,,
Kamala Harris,2023-06-01,Approve,36.16439003870108,,
Kamala Harris,2023-06-01,Disapprove,52.75911294902747,,
Kamala Harris,2023-05-31,Approve,36.16439003870108,,
Kamala Harris,2023-05-31,Disapprove,52.75911294902747,,
Kamala Harris,2023-05-30,Approve,37.82315794584091,,
Kamala Harris,2023-05-30,Disapprove,51.28435101898831,,
Kamala Harris,2023-05-29,Approve,37.82315794584091,,
Kamala Harris,2023-05-29,Disapprove,51.28435101898831,,
Kamala Harris,2023-05-28,Approve,37.82315794584091,,
Kamala Harris,2023-05-28,Disapprove,51.28435101898831,,
Kamala Harris,2023-05-27,Approve,37.82315794584091,,
Kamala Harris,2023-05-27,Disapprove,51.28435101898831,,
Kamala Harris,2023-05-26,Approve,37.82315794584091,,
Kamala Harris,2023-05-26,Disapprove,51.2843510189883,,
Kamala Harris,2023-05-25,Approve,37.82315794584091,,
Kamala Harris,2023-05-25,Disapprove,51.2843510189883,,
Kamala Harris,2023-05-24,Approve,37.82315794584091,,
Kamala Harris,2023-05-24,Disapprove,51.28435101898831,,
Kamala Harris,2023-05-23,Approve,37.82315794584091,,
Kamala Harris,2023-05-23,Disapprove,51.2843510189883,,
Kamala Harris,2023-05-22,Approve,38.6585259435305,,
Kamala Harris,2023-05-22,Disapprove,49.94741249544919,,
Kamala Harris,2023-05-21,Approve,38.6585259435305,,
Kamala Harris,2023-05-21,Disapprove,49.94741249544919,,
Kamala Harris,2023-05-20,Approve,38.6585259435305,,
Kamala Harris,2023-05-20,Disapprove,49.94741249544918,,
Kamala Harris,2023-05-19,Approve,38.65852594353049,,
Kamala Harris,2023-05-19,Disapprove,49.94741249544919,,
Kamala Harris,2023-05-18,Approve,38.6585259435305,,
Kamala Harris,2023-05-18,Disapprove,49.94741249544919,,
Kamala Harris,2023-05-17,Approve,38.6585259435305,,
Kamala Harris,2023-05-17,Disapprove,49.94741249544919,,
Kamala Harris,2023-05-16,Approve,39.43569693388202,,
Kamala Harris,2023-05-16,Disapprove,50.39272091449843,,
Kamala Harris,2023-05-15,Approve,39.43569693388202,,
Kamala Harris,2023-05-15,Disapprove,50.39272091449843,,
Kamala Harris,2023-05-14,Approve,39.43569693388202,,
Kamala Harris,2023-05-14,Disapprove,50.39272091449843,,
Kamala Harris,2023-05-13,Approve,39.43569693388201,,
Kamala Harris,2023-05-13,Disapprove,50.39272091449843,,
Kamala Harris,2023-05-12,Approve,39.43569693388202,,
Kamala Harris,2023-05-12,Disapprove,50.39272091449843,,
Kamala Harris,2023-05-11,Approve,39.43569693388201,,
