politician,response,date,pct_estimate
Donald Trump,unfavorable,2023-05-03,50.84729113
Donald Trump,favorable,2023-05-02,42.55478491
Donald Trump,unfavorable,2023-05-02,53.4933031
Donald Trump,favorable,2023-05-01,41.57893989
Donald Trump,unfavorable,2023-05-01,54.48850905
Donald Trump,favorable,2023-04-30,41.57893989
Donald Trump,unfavorable,2023-04-30,54.48850905
Donald Trump,favorable,2023-04-29,41.57893989
Donald Trump,unfavorable,2023-04-29,54.48850905
Donald Trump,favorable,2023-04-28,42.10716637
Donald Trump,unfavorable,2023-04-28,54.24604897
Donald Trump,favorable,2023-04-27,42.10716637
Donald Trump,unfavorable,2023-04-27,54.24604897
Donald Trump,favorable,2023-04-26,42.30943098
Donald Trump,unfavorable,2023-04-26,53.75691648
Donald Trump,favorable,2023-04-25,41.09461059
Donald Trump,unfavorable,2023-04-25,53.91678027
Donald Trump,favorable,2023-04-24,41.09461059
Donald Trump,unfavorable,2023-04-24,53.91678027
Donald Trump,favorable,2023-04-23,41.13625229
Donald Trump,unfavorable,2023-04-23,53.95059965
Donald Trump,favorable,2023-04-22,41.13625229
Donald Trump,unfavorable,2023-04-22,53.95059965
Donald Trump,favorable,2023-04-21,41.70123209
Donald Trump,unfavorable,2023-04-21,54.04482525
Donald Trump,favorable,2023-04-20,40.38838654
Donald Trump,unfavorable,2023-04-20,54.61773111
Donald Trump,favorable,2023-04-19,40.73086693
Donald Trump,unfavorable,2023-04-19,53.27634213
Donald Trump,favorable,2023-04-18,39.57674359
Donald Trump,unfavorable,2023-04-18,54.24627654
Donald Trump,favorable,2023-04-17,39.57674359
Donald Trump,unfavorable,2023-04-17,54.24627654
Donald Trump,favorable,2023-04-16,39.32404185
Donald Trump,unfavorable,2023-04-16,54.25988835
Donald Trump,favorable,2023-04-15,39.32404185
Donald Trump,unfavorable,2023-04-15,54.25988835
Donald Trump,favorable,2023-04-14,39.32404185
Donald Trump,unfavorable,2023-04-14,54.25988835
Donald Trump,favorable,2023-04-13,39.32404185
