candidate,date,pct_estimate,state,pct_trend_adjusted,cycle,party
Haley,2023-03-08,7.274229,,,2024,REP
DeSantis,2023-03-08,28.84517,,,2024,REP
Trump,2023-03-08,45.91991,,,2024,REP
Pence,2023-03-07,6.59277,,,2024,REP
Haley,2023-03-07,7.138416,,,2024,REP
DeSantis,2023-03-07,29.03313,,,2024,REP
Trump,2023-03-07,45.98009,,,2024,REP
Pence,2023-03-06,6.559408,,,2024,REP
Haley,2023-03-06,7.12491,,,2024,REP
DeSantis,2023-03-06,29.56058,,,2024,REP
Trump,2023-03-06,44.81377,,,2024,REP
Pence,2023-03-05,6.559946,,,2024,REP
Haley,2023-03-05,7.122483,,,2024,REP
DeSantis,2023-03-05,29.55325,,,2024,REP
Trump,2023-03-05,44.81747,,,2024,REP
Pence,2023-03-04,6.559946,,,2024,REP
Haley,2023-03-04,7.122483,,,2024,REP
DeSantis,2023-03-04,29.55325,,,2024,REP
Trump,2023-03-04,44.81747,,,2024,REP
Pence,2023-03-03,6.555713,,,2024,REP
Haley,2023-03-03,7.198457,,,2024,REP
DeSantis,2023-03-03,29.58277,,,2024,REP
Trump,2023-03-03,44.76443,,,2024,REP
Pence,2023-03-02,6.562745,,,2024,REP
Haley,2023-03-02,7.162385,,,2024,REP
DeSantis,2023-03-02,29.6158,,,2024,REP
Trump,2023-03-02,44.96599,,,2024,REP
Pence,2023-03-01,6.597551,,,2024,REP
Haley,2023-03-01,7.033768,,,2024,REP
DeSantis,2023-03-01,29.74852,,,2024,REP
Trump,2023-03-01,45.95715,,,2024,REP
