Question,Start,End,Pollster,Population,Text,Support,Republican Support,Democratic Support,URL
ban-assault-weapons,2/27/18,2/28/18,NPR/Ipsos,a,Banning assault-style weapons,72,58,88,https://www.ipsos.com/en-us/npripsos-poll-majority-americans-support-policies-aimed-keep-guns-out-hands-dangerous-individuals
ban-assault-weapons,3/3/18,3/5/18,Quinnipiac,rv,Do you support or oppose a nationwide ban on the sale of assault weapons?,61,38,88,https://poll.qu.edu/national/release-detail?ReleaseID=2525
ban-assault-weapons,3/1/18,3/5/18,Morning Consult,rv,Banning assault-style weapons,68,41,83,https://morningconsult.com/wp-content/uploads/2018/03/180303_crosstabs_POLITICO_v1_DK-1.pdf
ban-high-capacity-magazines,2/18/18,2/20/18,YouGov,rv,Banning the sale of magazine clips for semi-automatic weapons that hold more than 10 rounds,67,52,82,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/57yxejgrmo/econTabReport.pdf
ban-high-capacity-magazines,2/25/18,2/27/18,YouGov,rv,Banning the sale of magazine clips for semi-automatic weapons that hold more than 10 rounds,64,44,82,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/h8n9gvrqyj/econTabReport.pdf
ban-high-capacity-magazines,2/15/18,2/19/18,Morning Consult,rv,Banning high-capacity ammunition magazines,69,63,82,https://morningconsult.com/wp-content/uploads/2018/02/180211_crosstabs_POLITICO_v1_DK-1-1-1.pdf
ban-high-capacity-magazines,2/20/18,2/23/18,CNN/SSRS,rv,"A ban on the sale and possession of equipment known as high-capacity or extended ammunition magazines, which allow some guns to shoot more than 10 bullets before they need to be reloaded",64,48,82,"http://cdn.cnn.com/cnn/2018/images/02/25/rel3a.-.trump,.guns.pdf"
ban-high-capacity-magazines,2/27/18,2/28/18,NPR/Ipsos,a,Banning high-capacity ammunition magazines that hold more than 10 rounds,73,59,88,https://www.ipsos.com/en-us/npripsos-poll-majority-americans-support-policies-aimed-keep-guns-out-hands-dangerous-individuals
ban-high-capacity-magazines,3/3/18,3/5/18,Quinnipiac,rv,Do you support or oppose a nationwide ban on the sale of high-capacity ammunition magazines that hold more than 10 bullets?,63,39,87,https://poll.qu.edu/national/release-detail?ReleaseID=2525
ban-high-capacity-magazines,3/1/18,3/5/18,Morning Consult,rv,Banning high-capacity ammunition magazines,71,64,84,https://morningconsult.com/wp-content/uploads/2018/03/180303_crosstabs_POLITICO_v1_DK-1.pdf
mental-health-own-gun,2/18/18,2/20/18,YouGov,rv,Preventing persons with a history of mental illness from owning guns,87,87,84,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/57yxejgrmo/econTabReport.pdf
mental-health-own-gun,2/25/18,2/27/18,YouGov,rv,Preventing persons with a history of mental illness from owning guns,84,81,86,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/h8n9gvrqyj/econTabReport.pdf
mental-health-own-gun,2/15/18,2/19/18,Morning Consult,rv,Preventing sales of all firearms to people who have been reported as dangerous to law enforcement by a mental health provider,88,89,90,https://morningconsult.com/wp-content/uploads/2018/02/180211_crosstabs_POLITICO_v1_DK-1-1-1.pdf
mental-health-own-gun,2/20/18,2/24/18,Suffolk,rv,Should people who have been treated for mental illness be banned from owning a firearm?,76,84,78,http://www.suffolk.edu/documents/SUPRC/3_1_2018_marginals.pdf
mental-health-own-gun,2/27/18,2/28/18,NPR/Ipsos,a,Adding those with mental illnesses to the federal gun background check system,92,88,96,https://www.ipsos.com/en-us/npripsos-poll-majority-americans-support-policies-aimed-keep-guns-out-hands-dangerous-individuals
mental-health-own-gun,3/1/18,3/5/18,Morning Consult,rv,Preventing sales of all †¤rearms to people who have been reported as dangerous to law enforcement by a mental health provider,88,91,91,https://morningconsult.com/wp-content/uploads/2018/03/180303_crosstabs_POLITICO_v1_DK-1.pdf
