Candidate name,Date,City,State,Primary Purpose,Host organization,Notes
Ron DeSantis,7/18/2023,Columbia,South Carolina,Speech,,
Ron DeSantis,7/18/2023,Columbia,South Carolina,Signing up GOP primary in South Carolina,Campaign,
Tim Scott,7/18/2023,Salem,New Hampshire,Town Hall,,
Donald Trump,7/19/2023,Bedminster,New Jersey,Sound of Freedom film screening,Trump campaign,
Doug Burgum,7/19/2023,Salix,Iowa,Town Hall,,
Mike Pence,7/19/2023,Hudson,New Hampshire,Meet and Greet,Senator Bob Clegg,
Mike Pence,7/20/2023,Meredith,New Hampshire,Town Hall,,
Nikki Haley,7/20/2023,Greenville,South Carolina,Town Hall,,
Vivek Ramaswamy,7/20/2023,Manchester,New Hampshire,Town Hall,New Hampshire Institute of Politics,
Will Hurd,7/20/2023,Hanover,New Hampshire,Speech,Darmouth College Rockefeller Center,
Chris Christie,7/21/2023,Columbia,South Carolina,Town Hall,Campaign,
Mike Pence,7/21/2023,Berlin,New Hampshire,Town Hall,,
Mike Pence,7/21/2023,Conway,New Hampshire,Meet and Greet,,
Ron DeSantis,7/21/2023,Salt Lake City,Utah,Press/Interview,,Press conference with Utah leaders at the state capitol
Tim Scott,7/21/2023,Manchester,New Hampshire,Town Hall,WMUR,
Vivek Ramaswamy,7/21/2023,Cedar Rapids,Iowa,Luncheon,"Linn County Moms for Liberty, Linn County GOP",
Will Hurd,7/21/2023,Manchester,New Hampshire,Town Hall,New Hampshire Institute of Politics,
Ron DeSantis,7/22/2023,Park City,Utah,Fundraiser,DeSantis Campaign,
Vivek Ramaswamy,7/22/2023,Henderson,Nevada,Town Hall,Clark County GOP,
Nikki Haley,7/23/2023,Deal,New Jersey,Press/Interview,Jewish Community Center of Jersey Shore,
Ron DeSantis,7/23/2023,Park City,Utah,Fundraiser,DeSantis campaign,
Chris Christie,7/24/2023,Concord,New Hampshire,Town Hall,Campaign,
Chris Christie,7/24/2023,Manchester,New Hampshire,Local Business Roundtable,Campaign,
Vivek Ramaswamy,7/24/2023,Muscatine,Iowa,Fundraiser,Rep. Marianette Miller-Meeks,
Donald Trump,7/25/2023,New Orleans,Louisiana,Fundraiser,Trump campaign,
Donald Trump,7/25/2023,New Orleans,Louisiana,Meet and Greet,Trump campaign,Cafe du Monde
Nikki Haley,7/25/2023,Barrington,New Hampshire,Town Hall,,
Nikki Haley,7/25/2023,Hollis,New Hampshire,Town Hall,,
Ron DeSantis,7/25/2023,Chattanooga ,Tennessee,Fundraiser,DeSantis campaign,
Ron DeSantis,7/25/2023,Franklin,Tennessee,Fundraiser,DeSantis campaign,
Ron DeSantis,7/25/2023,Knoxville,Tennessee,Fundraiser,DeSantis campaign,
Nikki Haley,7/26/2023,Manchester,New Hampshire,Press/Interview,Freedom Movement New Hampshire,Discussion with former state Rep. Victoria Sullivan and Freedom Movement New Hampshire
Nikki Haley,7/26/2023,Manchester,New Hampshire,Roundtable,,addiction recovery focus
Ron DeSantis,7/26/2023,Orlando,Florida,Speech,ALEC,
Vivek Ramaswamy,7/26/2023,"Washington, D.C.",District of Columbia,Speech,Young America's Foundation,
Doug Burgum,7/27/2023,"Washington, D.C.",District of Columbia,Meet and Greet,Capitol Hill Club,
Mike Pence,7/27/2023,Napa,California,Speech,Napa Institute,Catholic conference
Ron DeSantis,7/27/2023,Chariton,Iowa,Bus Tour,Never Back Down,
Ron DeSantis,7/27/2023,Osceola,Iowa,Bus Tour,Never Back Down,
Tim Scott,7/27/2023,Ankeny,Iowa,Town Hall,,
Asa Hutchinson,7/28/2023,Cedar Rapids,Iowa,Speech,Right to Start,
Asa Hutchinson,7/28/2023,Des Moines,Iowa,Speech,Iowa GOP Lincoln Dinner,
Donald Trump,7/28/2023,Des Moines,Iowa,Speech,Iowa GOP Lincoln Dinner,
Donald Trump,7/28/2023,Urbandale,Iowa,Meet and Greet,Trump campaign,Iowa HQ opening
Doug Burgum,7/28/2023,Des Moines,Iowa,Speech,Iowa GOP Lincoln Dinner,
Francis Suarez,7/28/2023,Cedar Rapids,Iowa,Candidate Forum,Presidential Candidate Forum on Entrepreneurship,
Francis Suarez,7/28/2023,Des Moines,Iowa,Speech,Iowa GOP Lincoln Dinner,
Mike Pence,7/28/2023,Des Moines,Iowa,Speech,Iowa GOP Lincoln Dinner,
Nikki Haley,7/28/2023,Des Moines,Iowa,Speech,Iowa GOP Lincoln Dinner,
Ron DeSantis,7/28/2023,Des Moines,Iowa,Speech,Iowa GOP Lincoln Dinner,
Ron DeSantis,7/28/2023,Oskaloosa,Iowa,Bus Tour,Never Back Down,
Tim Scott,7/28/2023,Des Moines,Iowa,Speech,Iowa GOP Lincoln Dinner,
Vivek Ramaswamy,7/28/2023,Des Moines,Iowa,Speech,Iowa GOP Lincoln Dinner,
Will Hurd,7/28/2023,Des Moines,Iowa,Speech,Iowa GOP Lincoln Dinner,
Will Hurd,7/28/2023,Manchester,New Hampshire,Town Hall,WMUR,
Donald Trump,7/29/2023,Erie,Pennsylvania,Rally,Trump campaign,
Doug Burgum,7/29/2023,Boone,Iowa,Meet and Greet,Boone County GOP,
Doug Burgum,7/29/2023,Webster City,Iowa,"Local event (e.g., Iowa State Fair)",Hamilton County Fair,
Francis Suarez,7/29/2023,Cedar Falls,Iowa,Meet and Greet,,
Francis Suarez,7/29/2023,Des Moines,Iowa,Business Tour,,
Francis Suarez,7/29/2023,Des Moines,Iowa,Church,,
Francis Suarez,7/29/2023,Urbandale,Iowa,Breakfast,,
Mike Pence,7/29/2023,Ames,Iowa,Meet and Greet,Story County Activist Meeting,
Mike Pence,7/29/2023,Nevada,Iowa,Roundtable,First Responder Roundtable,
Nikki Haley,7/29/2023,Iowa City,Iowa,Town Hall,,
Vivek Ramaswamy,7/29/2023,Des Moines,Iowa,Town Hall,,
Doug Burgum,7/30/2023,Newton,Iowa,Meet and Greet,Jasper County GOP,
Mike Pence,7/30/2023,Clinton,Iowa,"Local event (e.g., Iowa State Fair)",Clinton County GOP Hog Roast,
Ron DeSantis,7/30/2023,Derry,New Hampshire,Meet and Greet,DeSantis campaign,Event hosted by the DeSantis campaign
Ron DeSantis,7/30/2023,Rye,New Hampshire,No BS BBQ hosted by Amb. Scott Brown and Gail Brown,Hosted by Amb. Scott Brown and Gail Brown,
Ron DeSantis,7/30/2023,Seabrook,New Hampshire,Meet and Greet,DeSantis campaign,
Ron DeSantis,7/30/2023,Windham,New Hampshire,House Party/BBQ,Joseph Matarese and Phil Taub,
Ron DeSantis,7/31/2023,Rochester ,New Hampshire,Press/Interview,DeSantis Campaign,"DeSantis held a press conference in Rochester, NH unveiling his economic plans"
Doug Burgum,8/1/2023,Greenland,New Hampshire,Town Hall,Chris Sununu,
Ron DeSantis,8/1/2023,Concord,New Hampshire,Meet and Greet,DeSantis Campaign,"Governor DeSantis made a stop at the Windmill Restaurant in Concord, N.H."
Ron DeSantis,8/1/2023,Manchester,New Hampshire,Town Hall,WMUR,
Doug Burgum,8/2/2023,Hollis,New Hampshire,Meet and Greet,,
Francis Suarez,8/2/2023,San Juan,Puerto Rico,Roundtable,Republican Party of Puerto Rico,
Mike Pence,8/2/2023,Indianapolis,Indiana,"Local event (e.g., Iowa State Fair)",Indiana State Fair,
Vivek Ramaswamy,8/2/2023,Nashville,Tennessee,Press/Interview,,
Asa Hutchinson,8/3/2023,Wahpeton,Iowa,"Local event (e.g., Iowa State Fair)",Dickinson County Picnic,
Mike Pence,8/3/2023,Indianapolis,Indiana,"Local event (e.g., Iowa State Fair)",Indiana State Fair,
Vivek Ramaswamy,8/3/2023,Concord,New Hampshire,Town Hall,Concord GOP,
Vivek Ramaswamy,8/3/2023,Milford,New Hampshire,Lunch,,
Will Hurd,8/3/2023,,New Hampshire,"Local event (e.g., Iowa State Fair)","""a fair""",https://twitter.com/WillHurd/status/1687163354291511296?s=20
Asa Hutchinson,8/4/2023,Eldora,Iowa,"Local event (e.g., Iowa State Fair)",Hardin County Republicans Sweet Corn Feed,
Chris Christie,8/4/2023,Jersey Shore,New Jersey,Press/Interview,,
Donald Trump,8/4/2023,Montgomery,Alabama,Speech,Republican Party summer dinner,
Mike Pence,8/4/2023,Londonderry,New Hampshire,Town Hall,,
Ron DeSantis,8/4/2023,Decorah,Iowa,Meet and Greet,Never Back Down Super PAC,Meet and Greet at Toppling Goliath Brewing
Ron DeSantis,8/4/2023,Garnavillo,Iowa,"Local event (e.g., Iowa State Fair)",Never Back Down ,DeSantis went to the Clayton County Fairground
Ron DeSantis,8/4/2023,New Hampton,Iowa,Meet and Greet,Never Back Down,DeSantis goes Klunder’s Kafe for a Retail Stop.
Ron DeSantis,8/4/2023,Waukon,Iowa,Meet and Greet,Never Back Down Super PAC,"Did a retail politics event at a local Ice Cream shop in Waukon, Iowa"
Ron DeSantis,8/4/2023,Waverly,Iowa,Speech,Never Back Down,Waverly Tire Company Messaging Stop
Tim Scott,8/4/2023,Yuma,Arizona,Roundtable,,
Will Hurd,8/4/2023,Seabrook Beach,New Hampshire,Meet and Greet,,
Donald Trump,8/5/2023,Columbia,South Carolina,Rally,South Carolina Republican Party,
Mike Pence,8/5/2023,Bedford,New Hampshire,Speech,Polaris National Security,
Ron DeSantis,8/5/2023,Adel,Iowa,"Local event (e.g., Iowa State Fair)",Brenna Bird's Big Barn Bash,
Ron DeSantis,8/5/2023,Cedar Falls,Iowa,Meet and Greet,Never Back Down,
Ron DeSantis,8/5/2023,Grinnell,Iowa,Meet and Greet,Never Back Down,Grinnell Pizza Ranch
Ron DeSantis,8/5/2023,Tama,Iowa,Meet and Greet,Never Back Down,Meet and Greet held at Spanky’s South Tama Livestock Auction
Ron DeSantis,8/5/2023,Vinton,Iowa,Meet and Greet,Never Back Down,Retail campaign stop at Vinton Family Restaurant
Vivek Ramaswamy,8/5/2023,Council Bluffs,Iowa,Lunch,,
Vivek Ramaswamy,8/5/2023,Vail,Iowa,Town Hall,Crawford County GOP,
Vivek Ramaswamy,8/5/2023,Wayne County,Iowa,Meet and Greet,,
Will Hurd,8/5/2023,Portsmouth,New Hampshire,,New Hampshire Federation of Republican Women,
Asa Hutchinson,8/6/2023,Cedar Rapids,Iowa,"Local event (e.g., Iowa State Fair)",Ashley's BBQ Bash (Ashley Hinson),
Doug Burgum,8/6/2023,Cedar Rapids,Iowa,"Local event (e.g., Iowa State Fair)",Ashley's BBQ Bash (Ashley Hinson),
Nikki Haley,8/6/2023,Cedar Rapids,Iowa,"Local event (e.g., Iowa State Fair)",Ashley's BBQ Bash (Ashley Hinson),
Ron DeSantis,8/6/2023,Cedar Rapids,Iowa,"Local event (e.g., Iowa State Fair)",Ashley's BBQ Bash (Ashley Hinson),
Ron DeSantis,8/6/2023,Des Moines,Iowa,Church,,
Vivek Ramaswamy,8/6/2023,Cedar Rapids,Iowa,"Local event (e.g., Iowa State Fair)",Ashley's BBQ Bash (Ashley Hinson),
Vivek Ramaswamy,8/6/2023,Des Moines,Iowa,Meet and Greet,,
Doug Burgum,8/7/2023,,Texas,Border Visit,,
Nikki Haley,8/7/2023,Amherst,New Hampshire,Dinner,New Hampshire Federation of Republican Women,
Ron DeSantis,8/7/2023,Oklahoma City,Oklahoma,Fundraiser,,
Vivek Ramaswamy,8/7/2023,Bloomfield Hills,Michigan,Town Hall,Oakland County Republican Party,
Vivek Ramaswamy,8/7/2023,,New Hampshire,Border visit,,"Unclear where, but he visited the northern border. See https://x.com/Kjwalsh_news/status/1711009625602949415?s=20"
Asa Hutchinson,8/8/2023,Hanover,New Hampshire,Speech,Path to the Presidency,
Chris Christie,8/8/2023,New London,New Hampshire,Town Hall,,
Donald Trump,8/8/2023,Windham,New Hampshire,Rally,,
Doug Burgum,8/8/2023,,Texas,Border Visit,,
Nikki Haley,8/8/2023,Hudson,New Hampshire,Meet and Greet,,
Asa Hutchinson,8/9/2023,Hanover,New Hampshire,Town Hall,Dartmouth College,
Chris Christie,8/9/2023,Canterbury,New Hampshire,Campaign stop,Campaign,Visiting Granite State Recovery addiction treatment
Chris Christie,8/9/2023,Manchester,New Hampshire,Campaign stop,Campaign,HOPE Recovery Clinic visit
Chris Christie,8/9/2023,Salem,New Hampshire,Town Hall,,
Doug Burgum,8/9/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Mike Pence,8/9/2023,Davenport,Iowa,Meet and Greet,Quad City Veterans Center,
Tim Scott,8/9/2023,The Hamptons,New York,Fundraiser,,
Asa Hutchinson,8/10/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Doug Burgum,8/10/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Doug Burgum,8/10/2023,Waukee,Iowa,Meet and Greet,Dallas County GOP,
Francis Suarez,8/10/2023,Pharr,Texas,Border Visit,,
Mike Pence,8/10/2023,Davenport,Iowa,Speech,Scott County Republican Lincoln Club,
Mike Pence,8/10/2023,Davenport,Iowa,Meet and Greet,Quad City Veterans Outreach Center,
Mike Pence,8/10/2023,Davenport,Iowa,Lunch,Scott County GOP,
Mike Pence,8/10/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Nikki Haley,8/10/2023,Des Moines,Iowa,Press/Interview,Ruthless Podcast,
Ron DeSantis,8/10/2023,Coralville ,Iowa,Meet and Greet,Never Back Down,
Ron DeSantis,8/10/2023,Des Moines,Iowa,Press/Interview,,
Ron DeSantis,8/10/2023,Johnson County,Iowa,Bus Tour,,
Ron DeSantis,8/10/2023,Tipton,Iowa,Meet and Greet,Never Back Down,
Chris Christie,8/11/2023,Manchester,New Hampshire,Town Hall,WMUR,
Doug Burgum,8/11/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Francis Suarez,8/11/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Mike Pence,8/11/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Nikki Haley,8/11/2023,Des Moines,Iowa,Speech,The Bastion Institute,
Nikki Haley,8/11/2023,Des Moines,Iowa,Speech,The Bastion Institute,
Ron DeSantis,8/11/2023,Atlantic,Iowa,Meet and Greet,Never Back Down,
Ron DeSantis,8/11/2023,Audubon,Iowa,Meet and Greet,Never Back Down,"Waspy’s Truck Stop retail stop in Audubon, Iowa"
Ron DeSantis,8/11/2023,Carroll,Iowa,Meet and Greet,Never Back Down,
Ron DeSantis,8/11/2023,Harlan,Iowa,Meet and Greet,Never Back Down,
Ron DeSantis,8/11/2023,Menlo,Iowa,Meet and Greet,Never Back Down,
Ron DeSantis,8/11/2023,Panora,Iowa,Town Hall,Never Back Down,
Vivek Ramaswamy,8/11/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Vivek Ramaswamy,8/11/2023,Orlando,Florida,Speech,Young Americans for Liberty,
Donald Trump,8/12/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Doug Burgum,8/12/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Mike Pence,8/12/2023,Ankeny,Iowa,Roundtable,Faith Baptist Bible College,Chrsitian Education Leaders
Mike Pence,8/12/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Nikki Haley,8/12/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Ron DeSantis,8/12/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Ron DeSantis,8/12/2023,Knoxville,Iowa,"Stop at Knoxville, Iowa Raceway (he was literally there for about 20 minutes)",Knoxville National Raceway,
Vivek Ramaswamy,8/12/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Vivek Ramaswamy,8/12/2023,Waverly,Iowa,Meet and Greet,Bremer County Republicans,
Francis Suarez,8/13/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Vivek Ramaswamy,8/13/2023,Rye,New Hampshire,Meet and Greet,Ambassador Scott and Gail Brown,
Asa Hutchinson,8/14/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Francis Suarez,8/14/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Vivek Ramaswamy,8/14/2023,Chicago,Illinois,Town Hall,NewsNation,
Vivek Ramaswamy,8/14/2023,St. Clair Shores,Michigan,Town Hall,Colion Noir,
Will Hurd,8/14/2023,Derry,New Hampshire,Campaign stop,,
Asa Hutchinson,8/15/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Francis Suarez,8/15/2023,Manchester,New Hampshire,,,
Mike Pence,8/15/2023,St. Louis,Missouri,,,
Tim Scott,8/15/2023,Ames,Iowa,Dinner,Story County GOP,
Tim Scott,8/15/2023,Cambridge,Iowa,Dinner,Judge Joseph Story,
Tim Scott,8/15/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Vivek Ramaswamy,8/15/2023,Rochester,New Hampshire,Town Hall,,
Vivek Ramaswamy,8/15/2023,Rye,New Hampshire,"Local event (e.g., Iowa State Fair)",New Hampshire GOP Golf Tournament,
Asa Hutchinson,8/16/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Francis Suarez,8/16/2023,Concord,New Hampshire,Meet with Sununu,,
Francis Suarez,8/16/2023,Rye,New Hampshire,Meet and Greet,Ambassador Scott and Gail Brown,
Mike Pence,8/16/2023,Indianapolis,Indiana,Speech,National Conference of State Legislatures,
Francis Suarez,8/17/2023,,New Hampshire,Campaign stop,,
Vivek Ramaswamy,8/17/2023,Orange County,California,Speech,Nixon Presidential Library,
Asa Hutchinson,8/18/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Chris Christie,8/18/2023,South Miami,Florida,Town Hall,,
Francis Suarez,8/18/2023,,New Hampshire,Town Hall,WMUR,
Mike Pence,8/18/2023,Atlanta,Georgia,Candidate Forum,"Erick Erickson's ""The Gathering"" conference",
Nikki Haley,8/18/2023,Atlanta,Georgia,Candidate Forum,"Erick Erickson's ""The Gathering"" conference",
Ron DeSantis,8/18/2023,Atlanta,Georgia,Candidate Forum,"Erick Erickson's ""The Gathering"" conference",
Ron DeSantis,8/18/2023,Nashua,New Hampshire,Meet and Greet,New Hampshire Republican Party,
Tim Scott,8/18/2023,Atlanta,Georgia,Candidate Forum,"Erick Erickson's ""The Gathering"" conference",
Vivek Ramaswamy,8/18/2023,Dallas,Texas,Speech,Young Republican Convention,
Will Hurd,8/18/2023,Cedar Falls,Iowa,Town Hall,Iowa Talking Points,
Will Hurd,8/18/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Asa Hutchinson,8/19/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Chris Christie,8/19/2023,Atlanta,Georgia,Candidate Forum,"Erick Erickson's ""The Gathering"" conference",
Mike Pence,8/19/2023,Jackson,Mississippi,"Local event (e.g., Iowa State Fair)",Mississippi Book Festival,
Ron DeSantis,8/19/2023,Hooksett,New Hampshire,Meet and Greet,Never Back Down,Brick House Drive-In Restaurant retail stop begins.
Ron DeSantis,8/19/2023,Londonderry,New Hampshire,"Local event (e.g., Iowa State Fair)",Londonderry Old Home Day Parade,
Ron DeSantis,8/19/2023,Manchester,New Hampshire,Meet and Greet,Never Back Down Super PAC,
Ron DeSantis,8/19/2023,Newport,New Hampshire,Meet and Greet,Never Back Down,Newport retail stop at Dad Restaurant
Ron DeSantis,8/19/2023,Newport,New Hampshire,Town Hall,New Hampshire Republican Party,
Vivek Ramaswamy,8/19/2023,Atlanta,Georgia,Candidate Forum,"Erick Erickson's ""The Gathering"" conference",
Vivek Ramaswamy,8/19/2023,Summerville,South Carolina,Speech,Dorchester County GOP,
Asa Hutchinson,8/20/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",Iowa State Fair,
Ron DeSantis,8/21/2023,Fort Walton Beach ,Florida,Pre-Debate Party,Never Back Down,
Mike Pence,8/22/2023,Milwaukee,Wisconsin,Reception,Leadership Institute,
Vivek Ramaswamy,8/22/2023,Milwaukee,Wisconsin,Pre-Debate Party,,
Asa Hutchinson,8/23/2023,Milwaukee,Wisconsin,Debate,Fox News,
Chris Christie,8/23/2023,Milwaukee,Wisconsin,Debate,Fox News,
Doug Burgum,8/23/2023,Milwaukee,Wisconsin,Debate,Fox News,
Mike Pence,8/23/2023,Milwaukee,Wisconsin,Debate,Fox News,
Nikki Haley,8/23/2023,Milwaukee,Wisconsin,Debate,Fox News,
Ron DeSantis,8/23/2023,Milwaukee,Wisconsin,Debate,Fox News,
Tim Scott,8/23/2023,Milwaukee,Wisconsin,Debate,Fox News,
Vivek Ramaswamy,8/23/2023,Milwaukee,Wisconsin,Debate,Fox News,
Doug Burgum,8/24/2023,Dover,New Hampshire,Meet and Greet,,
Ron DeSantis,8/24/2023,Dyersville,Iowa,Rally,Never Back Down PAC,
Tim Scott,8/24/2023,Milwaukee,Wisconsin,Press/Interview,,
Doug Burgum,8/25/2023,Rye,New Hampshire,Meet and Greet,Scott Brown,
Ron DeSantis,8/25/2023,Emmetsburg,Iowa,Meet and Greet,Never Back Down PAC,
Ron DeSantis,8/25/2023,Estherville,Iowa,Meet and Greet,Never Back Down PAC,
Ron DeSantis,8/25/2023,Hartley,Iowa,Meet and Greet,Never Back Down PAC,
Ron DeSantis,8/25/2023,Milford,Iowa,Meet and Greet,,with John Willis
Ron DeSantis,8/25/2023,Rock Rapids,Iowa,Meet and Greet,Never Back Down PAC,
Ron DeSantis,8/25/2023,Sibley,Iowa,Meet and Greet,Never Back Down PAC,
Ron DeSantis,8/25/2023,Spencer,Iowa,Meet and Greet,Never Back Down PAC,
Tim Scott,8/25/2023,Concord,New Hampshire,Meet and Greet,,
Tim Scott,8/25/2023,Hooksett,New Hampshire,Meet and Greet,,
Vivek Ramaswamy,8/25/2023,Clive,Iowa,Roundtable,Polk County GOP,
Vivek Ramaswamy,8/25/2023,Indianola,Iowa,Roundtable,Warren County GOP,
Vivek Ramaswamy,8/25/2023,Newton,Iowa,Roundtable,Jasper County GOP,
Vivek Ramaswamy,8/25/2023,Pella,Iowa,Roundtable,Marion County GOP,
Doug Burgum,8/26/2023,Rye,New Hampshire,Meet and Greet,New Hampshire GOP,
Mike Pence,8/26/2023,Carmel,Indiana,"Local event (e.g., Iowa State Fair)",Lincoln Lawn Party,
Ron DeSantis,8/26/2023,Algona,Iowa,Meet and Greet,Never Back Down PAC,
Ron DeSantis,8/26/2023,Clarion,Iowa,Meet and Greet,Never Back Down PAC,
Ron DeSantis,8/26/2023,Forest City,Iowa,Meet and Greet,Never Back Down PAC,
Ron DeSantis,8/26/2023,Garner,Iowa,Meet and Greet,Never Back Down PAC,
Ron DeSantis,8/26/2023,Manly,Iowa,Meet and Greet,Never Back Down PAC,
Tim Scott,8/26/2023,,New Hampshire,,,
Vivek Ramaswamy,8/26/2023,Clarion,Iowa,,Wright County GOP,
Vivek Ramaswamy,8/26/2023,Urbandale,Iowa,"Local event (e.g., Iowa State Fair)",,India Day celebration
Vivek Ramaswamy,8/26/2023,Waterloo,Iowa,Cookout,National Cattle Congress,KXEL Caucus Cookout
Vivek Ramaswamy,8/26/2023,Winterset,Iowa,Roundtable,,
Tim Scott,8/27/2023,Concord,New Hampshire,,,
Nikki Haley,8/28/2023,Indian Land,South Carolina,Town Hall,,
Tim Scott,8/28/2023,Anderson,South Carolina,Speech,Jeff Duncan's Faith & Freedom BBQ,
Tim Scott,8/28/2023,Greenville,South Carolina,Town Hall,,
Tim Scott,8/28/2023,Lexington,South Carolina,Town Hall,,
Doug Burgum,8/29/2023,Bedford,New Hampshire,,,
Doug Burgum,8/29/2023,Derry,New Hampshire,,,
Will Hurd,8/29/2023,Del Rio,Texas,Border visit,,
Will Hurd,8/29/2023,Eagle Pass,Texas,Border visit,,
Mike Pence,8/30/2023,Ankeny,Iowa,Meet and Greet,Northside Conservatives Club,
Mike Pence,8/30/2023,Centerville,Iowa,Candidate Forum,American Free Enterprise Chamber of Commerce,
Mike Pence,8/30/2023,Keosauqua,Iowa,Campaign stop,,
Mike Pence,8/30/2023,Leon,Iowa,,,
Mike Pence,8/30/2023,Osceola,Iowa,,,
Nikki Haley,8/30/2023,,South Carolina,,,
Tim Scott,8/30/2023,Le Mars,Iowa,Town Hall,Northwest Iowa Republican Women,
Tim Scott,8/30/2023,Sioux Center,Iowa,Meet and Greet,Siouxland Energy Cooperative,
Will Hurd,8/30/2023,,Texas,Border visit,,
Mike Pence,8/31/2023,Fairfield,Iowa,Business Tour,Weaton Companies,
Mike Pence,8/31/2023,Fort Madison,Iowa,Town Hall,,
Mike Pence,8/31/2023,Mount Pleasant,Iowa,Meet and Greet,Midwest Old Threshers,
Tim Scott,8/31/2023,Osceola,Iowa,,,
Tim Scott,8/31/2023,Oskaloosa,Iowa,Town Hall,,
Tim Scott,8/31/2023,Ottumwa,Iowa,Town Hall,,
Vivek Ramaswamy,8/31/2023,Boone County,Iowa,"Local event (e.g., Iowa State Fair)",Boone County GOP,
Vivek Ramaswamy,8/31/2023,Cambridge,Iowa,Speech,Judge Joseph Story Dinner Series,
Vivek Ramaswamy,8/31/2023,Clear Lake,Iowa,Roundtable,,
Vivek Ramaswamy,8/31/2023,Marshalltown,Iowa,Rally,Marshall County GOP,
Vivek Ramaswamy,8/31/2023,Nevada,Iowa,Fundraiser,,
Will Hurd,8/31/2023,Val Verde County,Texas,Border visit,,
Vivek Ramaswamy,9/1/2023,Hampton,New Hampshire,Town Hall,,
Vivek Ramaswamy,9/2/2023,Amherst,New Hampshire,Meet and Greet,,
Vivek Ramaswamy,9/2/2023,Dublin,New Hampshire,Meet and Greet,,
Vivek Ramaswamy,9/2/2023,Hooksett,New Hampshire,Meet and Greet,,
Vivek Ramaswamy,9/2/2023,Hopkinton,New Hampshire,"Local event (e.g., Iowa State Fair)",Hopkinton Fair,
Vivek Ramaswamy,9/2/2023,Newport,New Hampshire,Town Hall,,
Vivek Ramaswamy,9/3/2023,Conway,New Hampshire,Town Hall,Mount Washington Valley Republican Committee,
Vivek Ramaswamy,9/3/2023,Hill,New Hampshire,Church,,
Vivek Ramaswamy,9/3/2023,Laconia,New Hampshire,Town Hall,,
Vivek Ramaswamy,9/3/2023,Lancaster,New Hampshire,"Local event (e.g., Iowa State Fair)",Lancaster Fair,
Asa Hutchinson,9/4/2023,Salem,New Hampshire,Meet and Greet,Salem GOP ,Labor Day Picnic
Mike Pence,9/4/2023,Concord,New Hampshire,Meet and Greet,Granite State Baptist Church,
Mike Pence,9/4/2023,Rye,New Hampshire,Meet and Greet,Scott Brown,
Mike Pence,9/4/2023,Salem,New Hampshire,Meet and Greet,Salem GOP ,Labor Day Picnic
Vivek Ramaswamy,9/4/2023,Milford,New Hampshire,"Local event (e.g., Iowa State Fair)",Labor Day Parade,
Vivek Ramaswamy,9/4/2023,Salem,New Hampshire,Meet and Greet,Salem GOP ,Labor Day Picnic
Will Hurd,9/4/2023,Salem,New Hampshire,Meet and Greet,Salem GOP ,Labor Day Picnic
Asa Hutchinson,9/5/2023,Manchester,New Hampshire,,,
Doug Burgum,9/5/2023,Glenwood,Iowa,Meet and Greet,,
Doug Burgum,9/5/2023,Red Oak,Iowa,Meet and Greet,,
Doug Burgum,9/5/2023,Shenandoah,Iowa,Meet and Greet,,
Mike Pence,9/5/2023,Barrington,New Hampshire,Town Hall,,
Mike Pence,9/5/2023,Raymond,New Hampshire,Town Hall,,
Mike Pence,9/5/2023,Rochester,New Hampshire,Meet and Greet,,
