state_abbr,state_name,rep_map,rep_map_r_districts,rep_map_d_districts,rep_map_c_districts,rep_map_avg_r_chances,rep_map_avg_d_chances,rep_map_median_pvi,dem_map,dem_map_r_districts,dem_map_d_districts,dem_map_c_districts,dem_map_avg_r_chances,dem_map_avg_d_chances,dem_map_median_pvi,com_map,com_map_r_districts,com_map_d_districts,com_map_c_districts,com_map_avg_r_chances,com_map_avg_d_chances,com_map_median_pvi
NM,New Mexico,https://projects.fivethirtyeight.com/redistricting-2022-maps/new-mexico/concept_d/,1,2,0,0.410999401,0.589000599,-1.320462312,https://projects.fivethirtyeight.com/redistricting-2022-maps/new-mexico/concept_h/,0,2,1,0.28426912,0.71573088,0.146184256,https://projects.fivethirtyeight.com/redistricting-2022-maps/new-mexico/democratic_proposal/,0,1,2,0.278755142,0.721244858,-3.323878839
NV,Nevada,https://projects.fivethirtyeight.com/redistricting-2022-maps/nevada/republican_plan/,2,2,0,0.516254636,0.483745364,-0.514495562,https://projects.fivethirtyeight.com/redistricting-2022-maps/nevada/republican_plan/,2,2,0,0.516254636,0.483745364,-0.514495562,https://projects.fivethirtyeight.com/redistricting-2022-maps/nevada/legislature_plan/,1,1,2,0.489877216,0.510122784,5.471618794
NY,New York,https://projects.fivethirtyeight.com/redistricting-2022-maps/new-york/names_plan/,8,15,3,0.338251634,0.661748366,-4.542858712,https://projects.fivethirtyeight.com/redistricting-2022-maps/new-york/amended_democratic_proposal/,4,20,2,0.23412332,0.76587668,-6.014141443,https://projects.fivethirtyeight.com/redistricting-2022-maps/new-york/dunn_3/,6,15,5,0.321756566,0.678243434,-5.685347803
OH,Ohio,https://projects.fivethirtyeight.com/redistricting-2022-maps/ohio/senate_gop_proposal/,13,2,0,0.782850808,0.217149192,-0.957511253,https://projects.fivethirtyeight.com/redistricting-2022-maps/ohio/revised_democratic_plan/,8,4,3,0.637392182,0.362607818,3.608566603,https://projects.fivethirtyeight.com/redistricting-2022-maps/ohio/revised_democratic_plan/,8,4,3,0.637392182,0.362607818,3.608566603
OK,Oklahoma,https://projects.fivethirtyeight.com/redistricting-2022-maps/oklahoma/proposal_1/,5,0,0,0.993269434,0.006730566,1.835970412,https://projects.fivethirtyeight.com/redistricting-2022-maps/oklahoma/democratic_proposal/,5,0,0,0.954376465,0.045623535,-2.039700079,https://projects.fivethirtyeight.com/redistricting-2022-maps/oklahoma/democratic_proposal/,5,0,0,0.954376465,0.045623535,-2.039700079
OR,Oregon,https://projects.fivethirtyeight.com/redistricting-2022-maps/oregon/plan_b/,1,2,3,0.430187113,0.569812887,-10.33064007,https://projects.fivethirtyeight.com/redistricting-2022-maps/oregon/plan_a/,1,5,0,0.253565906,0.746434094,-0.389445827,https://projects.fivethirtyeight.com/redistricting-2022-maps/oregon/plan_b/,1,2,3,0.430187113,0.569812887,-10.33064007
PA,Pennsylvania,https://projects.fivethirtyeight.com/redistricting-2022-maps/pennsylvania/voters_of_commonwealth/,9,5,3,0.605304608,0.394695392,-7.036204388,https://projects.fivethirtyeight.com/redistricting-2022-maps/pennsylvania/house_dem/,7,8,2,0.528842692,0.471157308,2.296690054,https://projects.fivethirtyeight.com/redistricting-2022-maps/pennsylvania/senate_dem_2/,8,5,4,0.563531681,0.436468319,2.266046598
RI,Rhode Island,https://projects.fivethirtyeight.com/redistricting-2022-maps/rhode-island/alternative_a/,0,2,0,0.034712003,0.965287997,0.439693768,https://projects.fivethirtyeight.com/redistricting-2022-maps/rhode-island/plan_b/,0,2,0,0.034575163,0.965424837,0.445364879,https://projects.fivethirtyeight.com/redistricting-2022-maps/rhode-island/alternative_a/,0,2,0,0.034712003,0.965287997,0.439693768
SC,South Carolina,https://projects.fivethirtyeight.com/redistricting-2022-maps/south-carolina/senate_draft/,6,1,0,0.840097129,0.159902871,-7.035547452,https://projects.fivethirtyeight.com/redistricting-2022-maps/south-carolina/senate_amended_2/,5,1,1,0.793989375,0.206010625,-11.80598502,https://projects.fivethirtyeight.com/redistricting-2022-maps/south-carolina/senate_amended_2/,5,1,1,0.793989375,0.206010625,-11.80598502
SD,South Dakota,https://projects.fivethirtyeight.com/redistricting-2022-maps/south-dakota/,1,0,0,0.994684646,0.005315354,-32.23668,https://projects.fivethirtyeight.com/redistricting-2022-maps/south-dakota/,1,0,0,0.994684646,0.005315354,-32.23668,https://projects.fivethirtyeight.com/redistricting-2022-maps/south-dakota/,1,0,0,0.994684646,0.005315354,-32.23668
TN,Tennessee,https://projects.fivethirtyeight.com/redistricting-2022-maps/tennessee/committee_recommendation/,8,1,0,0.87635757,0.12364243,-6.581620472,https://projects.fivethirtyeight.com/redistricting-2022-maps/tennessee/democratic_proposal/,7,2,0,0.778875622,0.221124378,-10.37953354,https://projects.fivethirtyeight.com/redistricting-2022-maps/tennessee/democratic_proposal/,7,2,0,0.778875622,0.221124378,-10.37953354
TX,Texas,https://projects.fivethirtyeight.com/redistricting-2022-maps/texas/house_passed/,24,12,2,0.647064356,0.352935644,-12.17520734,https://projects.fivethirtyeight.com/redistricting-2022-maps/texas/draft_plan_1/,24,13,1,0.644004092,0.355995908,-11.98938325,https://projects.fivethirtyeight.com/redistricting-2022-maps/texas/house_passed/,24,12,2,0.647064356,0.352935644,-12.17520734
UT,Utah,https://projects.fivethirtyeight.com/redistricting-2022-maps/utah/legislative_committee_proposal_2/,4,0,0,0.984562957,0.015437043,0.989934898,https://projects.fivethirtyeight.com/redistricting-2022-maps/utah/purple_3_3/,3,1,0,0.763596688,0.236403312,-9.480970811,https://projects.fivethirtyeight.com/redistricting-2022-maps/utah/purple_3_3/,3,1,0,0.763596688,0.236403312,-9.480970811
VA,Virginia,https://projects.fivethirtyeight.com/redistricting-2022-maps/virginia/commission_plan_a5/,6,5,0,0.506015904,0.493984096,-10.58923663,https://projects.fivethirtyeight.com/redistricting-2022-maps/virginia/commission_plan_b5/,4,6,1,0.43852225,0.56147775,1.133460918,https://projects.fivethirtyeight.com/redistricting-2022-maps/virginia/commission_plan_c1_b/,4,5,2,0.450332284,0.549667716,-3.431905522
VT,Vermont,https://projects.fivethirtyeight.com/redistricting-2022-maps/vermont/,0,1,0,0.011306021,0.988693979,27.54904,https://projects.fivethirtyeight.com/redistricting-2022-maps/vermont/,0,1,0,0.011306021,0.988693979,27.54904,https://projects.fivethirtyeight.com/redistricting-2022-maps/vermont/,0,1,0,0.011306021,0.988693979,27.54904
WA,Washington,https://projects.fivethirtyeight.com/redistricting-2022-maps/washington/house_republican_caucus/,4,5,1,0.428052609,0.571947391,-8.361023869,https://projects.fivethirtyeight.com/redistricting-2022-maps/washington/house_democratic_caucus/,3,7,0,0.348358486,0.651641514,-2.527002202,https://projects.fivethirtyeight.com/redistricting-2022-maps/washington/senate_republican_caucus/,3,5,2,0.411264753,0.588735247,-7.696497069
WI,Wisconsin,https://projects.fivethirtyeight.com/redistricting-2022-maps/wisconsin/sb622/,6,2,0,0.705249808,0.294750192,-12.56109596,https://projects.fivethirtyeight.com/redistricting-2022-maps/wisconsin/commission_plan_b/,5,3,0,0.603105087,0.396894913,-5.949413824,https://projects.fivethirtyeight.com/redistricting-2022-maps/wisconsin/commission_final/,5,2,1,0.639597491,0.360402509,-7.394393796
WV,West Virginia,https://projects.fivethirtyeight.com/redistricting-2022-maps/west-virginia/trump_3/,2,0,0,0.99644104,0.00355896,0.800180405,https://projects.fivethirtyeight.com/redistricting-2022-maps/west-virginia/jeffries_3/,2,0,0,0.992771872,0.007228128,-0.575736597,https://projects.fivethirtyeight.com/redistricting-2022-maps/west-virginia/jeffries_3/,2,0,0,0.992771872,0.007228128,-0.575736597
WY,Wyoming,https://projects.fivethirtyeight.com/redistricting-2022-maps/wyoming/,1,0,0,0.999687657,3.12E-04,-49.73126,https://projects.fivethirtyeight.com/redistricting-2022-maps/wyoming/,1,0,0,0.999687657,3.12E-04,-49.73126,https://projects.fivethirtyeight.com/redistricting-2022-maps/wyoming/,1,0,0,0.999687657,3.12E-04,-49.73126
