year,state,chamber,district,metric,value,pct
2020,AZ,,10,total_vap,179264,100
2020,AZ,,10,trump_2020,,39.51
2020,AZ,,10,two_plus_vap,7123,3.97
2020,AZ,,10,white_vap,113770,63.47
2020,AZ,,11,asian_vap,5326,2.73
2020,AZ,,11,biden_2020,,45.96
2020,AZ,,11,black_vap,7788,3.99
2020,AZ,,11,hispanic_vap,39906,20.44
2020,AZ,,11,native_vap,2461,1.26
2020,AZ,,11,other_vap,887,0.45
2020,AZ,,11,pacisl_vap,323,0.17
2020,AZ,,11,pvi,R+15.8,
2020,AZ,,11,total_pop,250685,
2020,AZ,,11,total_vap,195275,100
2020,AZ,,11,trump_2020,,52.66
2020,AZ,,11,two_plus_vap,6501,3.33
2020,AZ,,11,white_vap,132083,67.64
2020,AZ,,12,asian_vap,12765,5.97
2020,AZ,,12,biden_2020,,40.23
2020,AZ,,12,black_vap,7430,3.47
2020,AZ,,12,hispanic_vap,32592,15.23
2020,AZ,,12,native_vap,1488,0.7
2020,AZ,,12,other_vap,926,0.43
2020,AZ,,12,pacisl_vap,450,0.21
2020,AZ,,12,pvi,R+26.7,
2020,AZ,,12,total_pop,305491,
2020,AZ,,12,total_vap,213993,100
2020,AZ,,12,trump_2020,,58.15
2020,AZ,,12,two_plus_vap,7823,3.66
2020,AZ,,12,white_vap,150519,70.34
2020,AZ,,13,asian_vap,5300,2.49
2020,AZ,,13,biden_2020,,38.52
2020,AZ,,13,black_vap,8691,4.08
2020,AZ,,13,hispanic_vap,64249,30.15
2020,AZ,,13,native_vap,1719,0.81
2020,AZ,,13,other_vap,885,0.42
2020,AZ,,13,pacisl_vap,474,0.22
2020,AZ,,13,pvi,R+29.9,
2020,AZ,,13,total_pop,280966,
2020,AZ,,13,total_vap,213129,100
2020,AZ,,13,trump_2020,,60.05
2020,AZ,,13,two_plus_vap,6813,3.2
2020,AZ,,13,white_vap,124998,58.65
2020,AZ,,14,asian_vap,3481,2.03
2020,AZ,,14,biden_2020,,37.38
2020,AZ,,14,black_vap,5297,3.08
2020,AZ,,14,hispanic_vap,48935,28.48
2020,AZ,,14,native_vap,1474,0.86
2020,AZ,,14,other_vap,862,0.5
2020,AZ,,14,pacisl_vap,433,0.25
2020,AZ,,14,pvi,R+30.2,
2020,AZ,,14,total_pop,224549,
2020,AZ,,14,total_vap,171823,100
2020,AZ,,14,trump_2020,,60.81
2020,AZ,,14,two_plus_vap,6271,3.65
2020,AZ,,14,white_vap,105070,61.15
2020,AZ,,15,asian_vap,14331,7.55
2020,AZ,,15,biden_2020,,44.09
2020,AZ,,15,black_vap,4274,2.25
2020,AZ,,15,hispanic_vap,20156,10.62
2020,AZ,,15,native_vap,1060,0.56
2020,AZ,,15,other_vap,921,0.49
2020,AZ,,15,pacisl_vap,173,0.09
2020,AZ,,15,pvi,R+19.2,
2020,AZ,,15,total_pop,244036,
2020,AZ,,15,total_vap,189843,100
2020,AZ,,15,trump_2020,,54.57
2020,AZ,,15,two_plus_vap,6425,3.38
2020,AZ,,15,white_vap,142503,75.06
2020,AZ,,16,asian_vap,4655,2.24
2020,AZ,,16,biden_2020,,37.51
2020,AZ,,16,black_vap,4954,2.38
2020,AZ,,16,hispanic_vap,32279,15.51
2020,AZ,,16,native_vap,1606,0.77
2020,AZ,,16,other_vap,734,0.35
2020,AZ,,16,pacisl_vap,459,0.22
2020,AZ,,16,pvi,R+31.7,
2020,AZ,,16,total_pop,268263,
2020,AZ,,16,total_vap,208154,100
2020,AZ,,16,trump_2020,,60.9
2020,AZ,,16,two_plus_vap,6546,3.14
2020,AZ,,16,white_vap,156921,75.39
2020,AZ,,17,asian_vap,20863,10.55
2020,AZ,,17,biden_2020,,51.12
2020,AZ,,17,black_vap,9957,5.03
2020,AZ,,17,hispanic_vap,37837,19.13
2020,AZ,,17,native_vap,2169,1.1
2020,AZ,,17,other_vap,785,0.4
2020,AZ,,17,pacisl_vap,403,0.2
2020,AZ,,17,pvi,R+5.7,
2020,AZ,,17,total_pop,259197,
2020,AZ,,17,total_vap,197773,100
2020,AZ,,17,trump_2020,,47.38
2020,AZ,,17,two_plus_vap,6608,3.34
2020,AZ,,17,white_vap,119151,60.25
2020,AZ,,18,asian_vap,14584,7.86
2020,AZ,,18,biden_2020,,58.06
2020,AZ,,18,black_vap,9885,5.33
2020,AZ,,18,hispanic_vap,29217,15.75
2020,AZ,,18,native_vap,3492,1.88
2020,AZ,,18,other_vap,872,0.47
