district,2018,2020
MD-1,R+30.39,R+29.89
MD-2,D+21.88,D+22.37
MD-3,D+24.44,D+24.94
MD-4,D+53.68,D+54.17
MD-5,D+28.81,D+29.31
MD-6,D+10.44,D+10.94
MD-7,D+51.28,D+51.77
MD-8,D+27.84,D+28.34
ME-1,D+14.87,D+12.99
ME-2,R+6.13,R+8.03
MI-1,R+18.64,R+14.29
MI-10,R+27.01,R+22.77
MI-11,R+6.41,R+1.97
MI-12,D+26.99,D+31.14
MI-13,D+62.42,D+65.39
MI-14,D+59.72,D+62.81
MI-2,R+17.71,R+13.34
MI-3,R+10.38,R+5.95
MI-4,R+20.88,R+16.55
MI-5,D+8.59,D+13
MI-6,R+7.74,R+3.31
MI-7,R+14.04,R+9.64
MI-8,R+7.18,R+2.74
MI-9,D+8.62,D+13.03
MN-1,R+10.99,R+11.58
MN-2,R+2.29,R+2.89
MN-3,D+5.01,D+4.41
MN-4,D+28.08,D+27.51
MN-5,D+51.78,D+51.31
MN-6,R+23.65,R+24.23
MN-7,R+25.32,R+25.89
MN-8,R+10.09,R+10.68
MO-1,D+55.63,D+54.27
MO-2,R+15.61,R+17.46
MO-3,R+38.14,R+39.78
MO-4,R+35.77,R+37.44
MO-5,D+11.99,D+10.11
MO-6,R+31.81,R+33.52
MO-7,R+46.41,R+47.92
MO-8,R+51.07,R+52.5
MS-1,R+29.99,R+29.32
MS-2,D+30.44,D+31.11
MS-3,R+22.99,R+22.28
MS-4,R+39.29,R+38.7
MT-1,R+17.95,R+18.36
NC-1,D+35,D+11.44
NC-10,R+24.4,R+36.71
NC-11,R+28.26,R+16.31
NC-12,D+36.87,D+35.63
NC-13,R+10.5,R+35.27
NC-2,R+12.7,D+20.48
NC-3,R+23.66,R+23.25
NC-4,D+34.8,D+30.42
NC-5,R+18.43,R+34.65
NC-6,R+16,D+19.34
NC-7,R+18,R+19.29
NC-8,R+15.4,R+8.45
NC-9,R+13.56,R+11.45
ND-1,R+33.68,R+33.96
NE-1,R+19.83,R+20.65
NE-2,R+3.9,R+4.75
NE-3,R+50.8,R+51.41
NH-1,R+4.37,R+3.31
NH-2,D+1,D+2.06
NJ-1,D+24.81,D+22.25
NJ-10,D+71.78,D+69.68
NJ-11,R+4.49,R+7.09
NJ-12,D+31.54,D+29.02
NJ-2,R+2.32,R+4.93
NJ-3,R+4.56,R+7.16
NJ-4,R+14.99,R+17.57
NJ-5,R+3.69,R+6.29
NJ-6,D+16.44,D+13.86
NJ-7,R+3.29,R+5.89
NJ-8,D+53.34,D+51
NJ-9,D+31.38,D+28.85
NM-1,D+14.53,D+15.32
NM-2,R+10.77,R+9.97
NM-3,D+14.63,D+15.42
NV-1,D+25.27,D+25.86
NV-2,R+16.03,R+15.42
NV-3,R+5.53,R+4.91
NV-4,D+1.7,D+2.32
NY-1,R+10.44,R+9.96
NY-10,D+53.46,D+53.71
NY-11,R+7.51,R+7.02
NY-12,D+62.59,D+62.75
NY-13,D+85.52,D+85.36
NY-14,D+56.99,D+57.21
NY-15,D+88.09,D+87.88
NY-16,D+48.72,D+49.02
NY-17,D+16.16,D+16.63
NY-18,R+2.24,R+1.75
NY-19,R+4.88,R+4.39
NY-2,R+7.01,R+6.52
NY-20,D+13.39,D+13.87
NY-21,R+9.64,R+9.16
NY-22,R+12.88,R+12.4
NY-23,R+12.68,R+12.2
NY-24,D+5.29,D+5.78
NY-25,D+14.99,D+15.46
NY-26,D+20.52,D+20.98
NY-27,R+22.88,R+22.43
NY-3,D+2.52,D+3.01
NY-4,D+8.49,D+8.97
NY-5,D+73.42,D+73.45
NY-6,D+31.86,D+32.27
NY-7,D+74.62,D+74.63
NY-8,D+71.39,D+71.45
NY-9,D+67.49,D+67.6
OH-1,R+9.42,R+8.11
OH-10,R+8.48,R+7.17
OH-11,D+61.42,D+62.22
OH-12,R+14.02,R+12.72
OH-13,D+10.52,D+11.82
OH-14,R+11.75,R+10.45
OH-15,R+15.12,R+13.83
OH-16,R+16.85,R+15.57
OH-2,R+17.38,R+16.1
OH-3,D+36.22,D+37.36
OH-4,R+30.05,R+28.85
OH-5,R+22.98,R+21.73
OH-6,R+35.55,R+34.39
OH-7,R+25.95,R+24.72
OH-8,R+34.48,R+33.32
OH-9,D+24.05,D+25.29
OK-1,R+28.1,R+27.7
OK-2,R+43.7,R+43.31
OK-3,R+49.5,R+49.12
OK-4,R+34.76,R+34.37
OK-5,R+13.5,R+13.09
OR-1,D+18.35,D+17.13
OR-2,R+21.45,R+22.65
OR-3,D+45.28,D+44.23
OR-4,R+0.32,R+1.57
OR-5,D+1.32,D+0.07
PA-1,R+0.68,R+0.86
PA-10,R+10.68,R+10.87
PA-11,R+27.24,R+27.45
PA-12,R+35.04,R+35.26
PA-13,R+44.51,R+44.74
PA-14,R+27.78,R+27.98
PA-15,R+40.38,R+40.6
PA-16,R+17.48,R+17.67
PA-17,R+5.78,R+5.96
PA-18,D+25.22,D+25.02
PA-2,D+47.99,D+47.76
PA-3,D+81.42,D+81.09
PA-4,D+14.76,D+14.57
PA-5,D+25.49,D+25.29
PA-6,D+4.72,D+4.54
PA-7,D+0.52,D+0.34
PA-8,R+4.98,R+5.16
PA-9,R+30.54,R+30.75
RI-1,D+34.62,D+33.03
RI-2,D+18.12,D+16.57
SC-1,R+18.95,R+18.04
SC-2,R+22.55,R+21.64
SC-3,R+39.72,R+38.79
SC-4,R+29.99,R+29.07
SC-5,R+20.35,R+19.44
SC-6,D+34.41,D+35.34
SC-7,R+20.15,R+19.24
SD-1,R+30.6,R+28.19
TN-1,R+57.66,R+57.23
TN-2,R+39.72,R+39.22
TN-3,R+36.86,R+36.34
TN-4,R+42.19,R+41.69
TN-5,D+12.68,D+13.24
TN-6,R+49.79,R+49.32
TN-7,R+41.12,R+40.62
TN-8,R+38.79,R+38.28
TN-9,D+53.64,D+54.09
TX-1,R+51.65,R+51.44
TX-10,R+18.51,R+18.54
TX-11,R+64.68,R+64.32
TX-12,R+37.51,R+37.44
TX-13,R+68.25,R+67.83
TX-14,R+25.48,R+25.48
TX-15,D+10.75,D+10.71
TX-16,D+31.35,D+31.4
TX-17,R+24.91,R+24.91
TX-18,D+49.75,D+49.95
TX-19,R+54.55,R+54.31
TX-2,R+20.98,R+21
TX-20,D+18.52,D+18.5
TX-21,R+19.65,R+19.67
TX-22,R+19.41,R+19.44
TX-23,R+4.28,R+4.34
TX-24,R+17.28,R+17.31
TX-25,R+22.98,R+22.99
TX-26,R+35.65,R+35.58
TX-27,R+28.85,R+28.83
TX-28,D+14.72,D+14.69
TX-29,D+35.75,D+35.83
TX-3,R+25.18,R+25.18
TX-30,D+54.85,D+55.11
TX-31,R+21.25,R+21.26
TX-32,R+9.58,R+9.63
TX-33,D+42.09,D+42.21
TX-34,D+16.15,D+16.12
TX-35,D+26.19,D+26.2
TX-36,R+52.71,R+52.5
TX-4,R+57.81,R+57.54
TX-5,R+34.65,R+34.59
TX-6,R+19.58,R+19.6
TX-7,R+11.85,R+11.89
TX-8,R+56.65,R+56.39
TX-9,D+54.15,D+54.4
UT-1,R+40.52,R+39.4
UT-2,R+25.58,R+24.44
UT-3,R+38.85,R+37.73
UT-4,R+20.12,R+18.96
VA-1,R+16.99,R+9.91
VA-10,D+1.55,D+8.67
VA-11,D+30.25,D+36.89
VA-2,R+7.79,R+0.65
VA-3,D+28.48,D+35.18
VA-4,D+16.91,D+23.87
VA-5,R+14.35,R+7.25
VA-6,R+27.72,R+20.8
VA-7,R+12.59,R+5.47
VA-8,D+42.58,D+48.81
VA-9,R+41.82,R+35.26
VT-1,D+24.2,D+23.93
WA-1,D+10.67,D+14.44
WA-10,D+8.87,D+12.65
WA-2,D+18.01,D+21.71
WA-3,R+9.29,R+5.5
WA-4,R+26.26,R+22.61
WA-5,R+15.79,R+12.04
WA-6,D+9.37,D+13.15
WA-7,D+63.17,D+65.78
WA-8,R+1.26,D+2.55
WA-9,D+40.57,D+43.88
WI-1,R+11.49,R+12.84
WI-2,D+33.91,D+32.59
WI-3,R+2.56,R+3.91
WI-4,D+48.74,D+47.46
WI-5,R+24.49,R+25.82
WI-6,R+16.93,R+18.27
WI-7,R+17.86,R+19.2
WI-8,R+16.19,R+17.54
WV-1,R+30.43,R+33.3
WV-2,R+25.39,R+28.32
WV-3,R+37.33,R+40.11
WY-1,R+48.35,R+44.56
